check,status,affected_rows,columns,details
Required schema: modeling_rows_v1,PASS,0,,All required source columns are present.
Required schema: hourly_clean,PASS,0,,All required source columns are present.
Required schema: hourly_forecasts_clean,PASS,0,,All required source columns are present.
Required schema: daily_clean,PASS,0,,All required source columns are present.
Required schema: forecasts_clean,PASS,0,,All required source columns are present.
Required schema: supervised_forecast_error_rows,PASS,0,,All required source columns are present.
Feature spec columns exist in modeling_rows_v1,PASS,0,,feature_columns.json is aligned to modeling_rows_v1.csv.
Final feature list is populated and model-safe,PASS,0,"day_of_year_sin, hour_sin, hour_cos, month, season, forecast_horizon_hours, current_temp, dew_point, cloud_cover_now, wind_speed, precipitation_now, temp_minus_dew_point, wind_dir_sin, wind_dir_cos, max_temp_so_far, temp_change_60m, temp_change_120m, temp_change_180m, temp_change_240m, temp_change_300m, temp_acceleration_60m, temp_change_60m_minus_3h_avg_rate, forecast_temp_current_hour, current_temp_minus_forecast_temp, forecast_max_so_far, max_so_far_minus_forecast_max_so_far, current_temp_minus_max_so_far, minutes_since_max_temp_so_far, hour_of_max_temp_so_far, max_so_far_minus_forecast_high, mean_temp_error_so_far, max_temp_error_so_far, num_new_highs_last_3h, area_under_temp_curve_so_far, near_boundary_duration_so_far, minutes_until_typical_peak","Final feature list columns are present, numeric, model-safe, and not entirely missing."
Feature spec excludes target and final actuals,PASS,0,,Target/audit columns are not model features.
Feature spec columns are numeric,PASS,0,,All feature columns are numeric/model-safe.
Modeling row keys and hourly coverage,WARN,1591,"location, target_date, prediction_time",Rows are unique; some location/date groups have fewer than 24 rows after dropping rows with missing critical weather fields.
Modeling rows match supervised rows,WARN,1627,"modeling_rows_v1, supervised_forecast_error_rows","modeling rows=36797, supervised rows=38424; feature builder drops rows missing critical weather/model fields."
Target formula forecast_error = actual_high - forecast_high,PASS,0,"forecast_error, actual_high, forecast_high",Target math matches stored columns.
daily_clean.actual_high matches max hourly_clean.temperature_2m,WARN,921,"actual_high, temperature_2m",Tolerance: 0.11 F. ASOS hourly/special reports can disagree with the official daily TMAX climate product.
Hourly forecast source availability,WARN,0,"forecast_high, temperature_2m",hourly_forecasts_clean.csv is Open-Meteo proxy data and is ignored; forecast-relative columns use timestamp-safe NDFD daily-high fallback values.
Feature formula: forecast_high,PASS,0,forecast_high,forecasts_clean.forecast_high joined by date/location
Feature formula: nws_forecast_high_f,WARN,0,nws_forecast_high_f,No independent formula check is registered for this feature.
Feature formula: ndfd_lead_hours,WARN,0,ndfd_lead_hours,No independent formula check is registered for this feature.
Feature formula: ndfd_grid_distance_km,WARN,0,ndfd_grid_distance_km,No independent formula check is registered for this feature.
Feature formula: day_of_year_sin,PASS,0,day_of_year_sin,sin(2*pi*prediction_time.dayofyear/366)
Feature formula: day_of_year_cos,PASS,0,day_of_year_cos,cos(2*pi*prediction_time.dayofyear/366)
Feature formula: hour_sin,PASS,0,hour_sin,sin(2*pi*fractional_prediction_hour/24)
Feature formula: hour_cos,PASS,0,hour_cos,cos(2*pi*fractional_prediction_hour/24)
Feature formula: month,PASS,0,month,prediction_time.month
Feature formula: season,PASS,0,season,encoded from prediction_time.month
Feature formula: forecast_horizon_hours,PASS,0,forecast_horizon_hours,hours from prediction_time to 15:00 on target_date
Feature formula: current_temp,PASS,0,current_temp,hourly_clean.temperature_2m at prediction_time
Feature formula: dew_point,PASS,0,dew_point,hourly_clean.dew_point_2m at prediction_time
Feature formula: nws_relative_humidity,WARN,0,nws_relative_humidity,No independent formula check is registered for this feature.
Feature formula: cloud_cover_now,PASS,0,cloud_cover_now,hourly_clean.cloud_cover at prediction_time
Feature formula: wind_speed,PASS,0,wind_speed,hourly_clean.wind_speed_10m at prediction_time
Feature formula: nws_wind_gust_kt,WARN,0,nws_wind_gust_kt,No independent formula check is registered for this feature.
Feature formula: precipitation_now,PASS,0,precipitation_now,hourly_clean.precipitation at prediction_time
Feature formula: temp_minus_dew_point,PASS,0,temp_minus_dew_point,current_temp - dew_point
Feature formula: nws_current_temp_f,WARN,0,nws_current_temp_f,No independent formula check is registered for this feature.
Feature formula: nws_dew_point_f,WARN,0,nws_dew_point_f,No independent formula check is registered for this feature.
Feature formula: nws_wind_speed_kt,WARN,0,nws_wind_speed_kt,No independent formula check is registered for this feature.
Feature formula: nws_precip_1h,WARN,0,nws_precip_1h,No independent formula check is registered for this feature.
Feature formula: nws_cloud_cover_pct,WARN,0,nws_cloud_cover_pct,No independent formula check is registered for this feature.
Feature formula: wind_dir_sin,PASS,0,wind_dir_sin,sin(hourly_clean.wind_direction_10m in radians)
Feature formula: wind_dir_cos,PASS,0,wind_dir_cos,cos(hourly_clean.wind_direction_10m in radians)
Feature formula: nws_wind_dir,WARN,0,nws_wind_dir,No independent formula check is registered for this feature.
Feature formula: max_temp_so_far,PASS,0,max_temp_so_far,cumulative max of hourly_clean.temperature_2m within target_date
Feature formula: nws_max_temp_so_far_f,WARN,0,nws_max_temp_so_far_f,No independent formula check is registered for this feature.
Feature formula: temp_change_60m,PASS,0,temp_change_60m,current_temp - observed temp 60 minutes earlier
Feature formula: nws_temp_change_60m,WARN,0,nws_temp_change_60m,No independent formula check is registered for this feature.
Feature formula: temp_change_120m,PASS,0,temp_change_120m,current_temp - observed temp 120 minutes earlier
Feature formula: nws_temp_change_120m,WARN,0,nws_temp_change_120m,No independent formula check is registered for this feature.
Feature formula: temp_change_180m,PASS,0,temp_change_180m,current_temp - observed temp 180 minutes earlier
Feature formula: nws_temp_change_180m,WARN,0,nws_temp_change_180m,No independent formula check is registered for this feature.
Feature formula: temp_change_240m,PASS,0,temp_change_240m,current_temp - observed temp 240 minutes earlier
Feature formula: temp_change_300m,PASS,0,temp_change_300m,current_temp - observed temp 300 minutes earlier
Feature formula: temp_acceleration_60m,PASS,0,temp_acceleration_60m,2*temp_change_60m - temp_change_120m
Feature formula: temp_change_60m_minus_3h_avg_rate,PASS,0,temp_change_60m_minus_3h_avg_rate,temp_change_60m - temp_change_180m/3
Feature formula: forecast_temp_current_hour,PASS,0,forecast_temp_current_hour,NDFD daily-high forecast_high when hourly NWS forecast temperature is unavailable
Feature formula: current_temp_minus_forecast_temp,PASS,0,current_temp_minus_forecast_temp,current_temp - forecast_temp_current_hour
Feature formula: forecast_max_so_far,PASS,0,forecast_max_so_far,NDFD daily-high forecast_high when hourly NWS forecast temperature is unavailable
Feature formula: max_so_far_minus_forecast_max_so_far,PASS,0,max_so_far_minus_forecast_max_so_far,max_temp_so_far - forecast_max_so_far
Feature formula: current_temp_minus_max_so_far,PASS,0,current_temp_minus_max_so_far,current_temp - max_temp_so_far
Feature formula: minutes_since_max_temp_so_far,PASS,0,minutes_since_max_temp_so_far,prediction_time - latest timestamp of max_temp_so_far
Feature formula: hour_of_max_temp_so_far,PASS,0,hour_of_max_temp_so_far,hour of latest timestamp of max_temp_so_far
Feature formula: max_so_far_minus_forecast_high,PASS,0,max_so_far_minus_forecast_high,max_temp_so_far - forecast_high
Feature formula: mean_temp_error_so_far,PASS,0,mean_temp_error_so_far,mean observed temp so far minus NDFD daily-high forecast when hourly NWS forecast temperature is unavailable
Feature formula: max_temp_error_so_far,PASS,0,max_temp_error_so_far,max_temp_so_far - forecast_max_so_far
Feature formula: num_new_highs_last_3h,PASS,0,num_new_highs_last_3h,"strict new observed highs in trailing (t - 3h, t] window"
Feature formula: temp_range_so_far,PASS,0,temp_range_so_far,max_temp_so_far - min_temp_so_far within target_date
Feature formula: area_under_temp_curve_so_far,PASS,0,area_under_temp_curve_so_far,cumulative hourly trapezoid integral of observed temp
Feature formula: near_boundary_duration_so_far,PASS,0,near_boundary_duration_so_far,count so far where abs(temp - round(temp)) <= 0.5
Feature formula: min_temp_so_far,WARN,0,min_temp_so_far,No independent formula check is registered for this feature.
Feature formula: nws_min_temp_so_far_f,WARN,0,nws_min_temp_so_far_f,No independent formula check is registered for this feature.
Feature formula: nws_current_minus_max_so_far,WARN,0,nws_current_minus_max_so_far,No independent formula check is registered for this feature.
Feature formula: minutes_until_typical_peak,PASS,0,minutes_until_typical_peak,minutes from prediction_time to 15:00 on target_date
Feature formula: forecast_current_temp_gap_per_hour_to_peak,PASS,0,forecast_current_temp_gap_per_hour_to_peak,(forecast_high - current_temp) / hours from prediction_time to 15:00 on target_date
Feature formula: needed_warming_rate_minus_recent_rate,PASS,0,needed_warming_rate_minus_recent_rate,forecast_current_temp_gap_per_hour_to_peak - temp_change_180m / 3
Feature formula: recent_forecast_revision,WARN,0,recent_forecast_revision,No independent formula check is registered for this feature.
Timestamp safety: current_temp_source_time <= prediction_time,PASS,0,"current_temp_source_time, prediction_time",Source/valid timestamps are not after prediction_time.
Timestamp safety: max_temp_so_far_source_time <= prediction_time,PASS,0,"max_temp_so_far_source_time, prediction_time",Source/valid timestamps are not after prediction_time.
near_boundary_duration_so_far interpretation,WARN,0,near_boundary_duration_so_far,The requested abs(temp - round(temp)) <= 0.5 formula counts every non-missing numeric hourly temperature.
